SubstanceID,Name,Effect,Type,Level,Cost,Qty,Rareity,Reagent 1,Cost,Qty,Rareity,Reagent 2,Cost,Qty,Rareity,Reagent 3,Cost,Qty,Rareity,Reagent 4,Cost,Qty,Rareity,Reagent 5,Total Reagents,Market Price in Copper Dragons,Market Price in Silver Dragons,Market Price in Gold Dragons,,,
replace,Anamnesis Decoction,Required in the Apotheca's Anamnesis ability,Apotheca,1,5,5,Distilled Spirits,Distilled Spirits,20,2,Common,Sayge,11,1,Uncommon,Widow's Petal,11,1,Uncommon,Harrowdust,10,1,Common,Sayge,5,58,5.8,0.58,,,
face,Blade Oil,Applied to a weapon to convert any one Active Martial call into a Cleave and allows the skill to be used with 1-Handed weapons. This potion’s effects are canceled the next time the player uses the Cleave effect or the event ends. A weapon can only have one oil/salve on it at a time.,Apotheca,1,1,1,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,10,1,Common,Dragon's Eye,10,1,Common,Dragon's Eye,20,2,Common,Verbaena,5,53,5.3,0.53,,,
seller,Blade Salve,Applied to a weapon to allow it to absorb 1 additional Sunder. This effect lasts until the weapon is Sundered next or the event ends. A weapon can only have one oil/salve on it at a time.,Apotheca,1,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Sayge,10,1,Common,Willow Root,0,0,Common,Verbaena,10,1,Common,Verbaena,4,44,4.4,0.44,,,
thought,Bridgit's Revenge,"Bridgit’s Revenge causes immediate and severe stomach pains, vomiting, and sometimes internal bleeding. If not cured, the poison progresses into a painful infection which slowly kills the victim after about three months. The poison causes the Weakness effect at the second event with the infection, and the victim dies at the end of their second event if not cured.",Poison,1,2,2,Distilled Spirits,Distilled Spirits,11,1,Uncommon,Thornwood Fern,11,1,Uncommon,Thornwood Fern,11,1,Uncommon,Thornwood Fern,20,2,Common,Verbaena,5,57,5.7,0.57,,,
disagreement,Bull's Decoction,Convert one Active Martial call into a Sunder and allows the skill to be used with any 1-Handed weapon. This potion’s effects are canceled the next time the player uses a Sunder effect or the event ends. Does not stack with itself or other consumables that grant Sunder. ,Apotheca,1,7,7,Distilled Spirits,Distilled Spirits,10,1,Common,Dragon's Eye,10,1,Common,Dragon's Eye,10,1,Common,Gold Lotus,10,1,Common,Phosphorous,4,48,4.8,0.48,,,
insist,Cat's Eyes,Must be used in the dark. Cat’s Eyes allows user to see in the “darkness” until they are exposed to daylight. Some encounters will feature a simulated darkness which causes blindness.,Apotheca,1,5,5,Distilled Spirits,Distilled Spirits,10,1,Common,Gold Lotus,10,1,Common,Gold Lotus,20,2,Common,Orgonnian Grapes,10,1,Common,Willow Root,5,56,5.6,0.56,,,
date,Cat's Paw,Gain 1 temporary level of the Disarm Device skill (Max 3) until a different potion is consumed or 30 minutes have passed. Does not stack with itself or other consumables that grant Disarm Device.,Apotheca,1,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Phosphorous,10,1,Common,Phosphorous,10,1,Common,Verbaena,10,1,Common,Dragon's Eye,5,54,5.4,0.54,,,
stun,Cub's Decoction,Add 1 temporary point of Tough to total Armor Value. Must be used before any purchased levels of Tough. This potion’s effects are canceled the next time the player uses Tough or the event ends. Does not stack with itself or other consumables that grant Tough.,Apotheca,1,3,3,Distilled Spirits,Distilled Spirits,20,2,Common,Sayge,10,1,Common,Willow Root,10,1,Common,Phosphorous,10,1,Common,Merchant's Leaf,5,54,5.4,0.54,,,
welfare,Cutter,Cutter is a fine white powder that is highly stimulating and causes extreme attentiveness and agitation for 1 hour. Gain 1 temporary level of the Perception skill (max 3) and -1 minute to Bleeding count for duration. Does not stack with itself or other consumables that grant Perception. This drug is highly addictive and should be roleplayed as such.,Drug,1,0,0,Distilled Spirits,Distilled Spirits,10,1,Common,Merchant's Leaf,20,2,Common,Merchant's Leaf,10,1,Common,Verbaena,10,1,Common,Verbaena,5,51,5.1,0.51,,,
addition,Distilled Spirits,Base substance needed to create most any apothecary substance.,Apotheca,1,,1,Distilled Spirits,Distilled Spirits,,,,,,,,,,,,,,,,,,,0,0,,,
